firm_id,sic,employment,turnover_baseline,turnover_reported,registered,vat_liability,compliance_cost,scheme_used,profit_change,cash_flow_cost,effective_rate,total_burden,weight,scenario_id,scenario_name
firm_1976212,71,4,80.73943,80.73943,True,9.688731599999999,10.01,flat_rate,-19.6987316,0.07857163160547943,0.11999999999999998,19.77730323160548,0.9991039,S2_enhanced,Taper with Compliance
firm_2544168,90,2,81.9308,81.9308,True,9.831696,10.01,flat_rate,-19.841696,0.07973101413698631,0.12000000000000001,19.921427014136984,0.9996204,S2_enhanced,Taper with Compliance
firm_1231383,56,2,97.69965,97.69965,True,12.21245625,10.01,flat_rate,-22.22245625,0.09903800136986302,0.125,22.321494251369863,0.67253536,S2_enhanced,Taper with Compliance
firm_495596,43,2,104.0081,104.0081,True,12.480972,10.01,flat_rate,-22.490972,0.10121555375342466,0.12,22.592187553753423,0.7477919,S2_enhanced,Taper with Compliance
firm_1844886,70,4,79.217,79.217,True,9.506039999999999,10.01,flat_rate,-19.516039999999997,0.07709007780821917,0.11999999999999998,19.593130077808215,0.9988273,S2_enhanced,Taper with Compliance
firm_252606,32,1,88.46627,88.46627,True,10.6159524,10.01,flat_rate,-20.6259524,0.08609101124383563,0.12,20.712043411243833,1.0472081,S2_enhanced,Taper with Compliance
firm_1237875,56,1,95.03752,95.03752,True,11.87969,10.01,flat_rate,-21.88969,0.09633940383561644,0.125,21.98602940383562,0.6873434,S2_enhanced,Taper with Compliance
firm_489029,43,2,70.58172,67.6964029212954,True,8.123568350555448,10.01,flat_rate,-32.08540025587716,0.06587880087025788,0.12,18.19944715142571,0.9986628,S2_enhanced,Taper with Compliance
firm_483104,43,1,97.96428,97.96428,True,11.7557136,10.01,flat_rate,-21.765713599999998,0.09533400618082193,0.12,21.86104760618082,0.75828,S2_enhanced,Taper with Compliance
firm_1447570,62,6,76.27763,76.27763,True,9.153315599999999,7.699999999999999,flat_rate,-16.8533156,0.07422962787945205,0.11999999999999998,16.92754522787945,0.99941677,S2_enhanced,Taper with Compliance
firm_66323,1,5,71.81604,68.75285026954633,True,8.250342032345559,7.699999999999999,flat_rate,-32.085977713471,0.06690688333080233,0.12,16.01724891567636,0.99942243,S2_enhanced,Taper with Compliance
firm_1647951,68,3,103.27426,103.27426,True,12.392911199999999,10.01,flat_rate,-22.4029112,0.10050141685479451,0.11999999999999998,22.503412616854792,1.0002956,S2_enhanced,Taper with Compliance
firm_1838053,70,3,88.86385,88.86385,True,10.663661999999999,10.01,flat_rate,-20.673662,0.08647791649315067,0.11999999999999998,20.760139916493152,2.1267564,S2_enhanced,Taper with Compliance
firm_1646700,68,134,75.9284,75.9284,True,9.111407999999999,5.389999999999999,flat_rate,-14.501407999999998,0.07388977446575341,0.12,14.575297774465751,0.99965,S2_enhanced,Taper with Compliance
firm_1731198,69,5,78.76758,78.76758,True,11.421299099999999,7.699999999999999,flat_rate,-19.121299099999998,0.09262204201643835,0.145,19.213921142016435,1.4779654,S2_enhanced,Taper with Compliance
firm_2122484,74,4,104.69716,104.69716,True,12.563659199999998,10.01,flat_rate,-22.573659199999998,0.10188611296438355,0.11999999999999998,22.67554531296438,0.5977483,S2_enhanced,Taper with Compliance
firm_310779,41,2,78.27617,78.27617,True,7.436236149999999,10.01,flat_rate,-17.446236149999997,0.06030481918904109,0.095,17.50654096918904,0.99969184,S2_enhanced,Taper with Compliance
firm_964310,47,6,91.36674,91.36674,True,6.8525054999999995,7.699999999999999,flat_rate,-14.552505499999999,0.05557100350684931,0.075,14.608076503506847,0.9991703,S2_enhanced,Taper with Compliance
firm_2084815,74,1,89.46548,89.46548,True,10.7358576,10.01,flat_rate,-20.7458576,0.08706339313972603,0.12,20.832920993139727,0.65247804,S2_enhanced,Taper with Compliance
firm_2089882,74,28,74.218315,73.22668864143841,True,8.787202636972609,5.389999999999999,flat_rate,-20.11204693830603,0.07126060220668197,0.11999999999999998,14.248463239179289,0.9800585,S2_enhanced,Taper with Compliance
firm_1845643,70,1,70.240776,67.34503053607423,True,8.081403664328908,10.01,flat_rate,-34.08797886225771,0.06553686259291389,0.12000000000000001,18.156940526921822,2.1864245,S2_enhanced,Taper with Compliance
firm_206071,25,10,70.07949,68.27072620447042,True,8.19248714453645,7.699999999999999,flat_rate,-21.748237717178505,0.06643770396665176,0.12,15.958924848503102,1.3620988,S2_enhanced,Taper with Compliance
firm_1438978,62,2,84.2727,84.2727,True,10.112724,10.01,flat_rate,-20.122723999999998,0.0820100357260274,0.12,20.204734035726027,2.3218553,S2_enhanced,Taper with Compliance
firm_1558708,64,2,105.27576,105.27576,True,12.6330912,10.01,flat_rate,-22.6430912,0.10244917795068494,0.12,22.745540377950686,0.7119111,S2_enhanced,Taper with Compliance
firm_1173686,53,6,114.774216,114.774216,True,13.77290592,7.699999999999999,flat_rate,-21.47290592,0.1116926069128767,0.12,21.584598526912874,0.6830874,S2_enhanced,Taper with Compliance
firm_1496274,62,5,70.34979,67.44562310174804,True,8.093474772209765,7.699999999999999,flat_rate,-30.797668947915298,0.06563475431709838,0.12000000000000001,15.859109526526863,0.9997798,S2_enhanced,Taper with Compliance
firm_1256021,56,6,113.50651,113.50651,True,14.18831375,7.699999999999999,flat_rate,-21.888313750000002,0.11506139369863017,0.125,22.003375143698634,0.6717581,S2_enhanced,Taper with Compliance
firm_901706,47,3,93.77376,93.77376,True,7.0330319999999995,10.01,flat_rate,-17.043032,0.0570349992328767,0.075,17.100066999232876,2.402931,S2_enhanced,Taper with Compliance
firm_309062,41,4,106.63762,106.63762,True,10.1305739,10.01,flat_rate,-20.1405739,0.08215479107945205,0.095,20.222728691079453,0.9992155,S2_enhanced,Taper with Compliance
firm_282645,38,6,94.813805,94.813805,True,11.3776566,7.699999999999999,flat_rate,-19.077656599999997,0.09226811927671234,0.12,19.16992471927671,0.833461,S2_enhanced,Taper with Compliance
firm_421484,42,13,87.34427,87.34427,True,10.481312399999998,7.699999999999999,flat_rate,-18.181312399999996,0.08499913617534245,0.12,18.266311536175337,2.4359767,S2_enhanced,Taper with Compliance
firm_1078364,49,4,82.924515,82.924515,True,9.950941799999999,10.01,flat_rate,-19.9609418,0.080698048569863,0.11999999999999998,20.041639848569865,0.9998762,S2_enhanced,Taper with Compliance
firm_1643981,68,1,113.67148,113.67148,True,13.6405776,10.01,flat_rate,-23.6505776,0.11061947861917809,0.12,23.761197078619176,1.0000948,S2_enhanced,Taper with Compliance
firm_1194671,55,12,89.41704,89.41704,True,10.7300448,7.699999999999999,flat_rate,-18.430044799999997,0.08701625372054794,0.12,18.517061053720546,0.9999255,S2_enhanced,Taper with Compliance
firm_489865,43,1,104.9503,104.9503,True,12.594036,10.01,flat_rate,-22.604036,0.10213245632876712,0.12,22.70616845632877,1.1785331,S2_enhanced,Taper with Compliance
firm_2278323,82,1,75.08149,75.08149,True,9.0097788,10.01,flat_rate,-19.019778799999997,0.07306560341917809,0.12,19.092844403419175,0.57012784,S2_enhanced,Taper with Compliance
firm_907574,47,11,98.43151,98.43151,True,7.38236325,7.699999999999999,flat_rate,-15.08236325,0.059867932109589045,0.075,15.142231182109589,1.0001683,S2_enhanced,Taper with Compliance
firm_1092457,49,1,115.07037,115.07037,True,13.808444399999999,10.01,flat_rate,-23.818444399999997,0.1119808093808219,0.12,23.930425209380818,1.0001318,S2_enhanced,Taper with Compliance
firm_2370786,84,4,106.197525,106.197525,True,12.743703,10.01,flat_rate,-22.753703,0.10334619419178083,0.12,22.85704919419178,0.45593506,S2_enhanced,Taper with Compliance
firm_778662,46,1,117.47217,117.47217,True,14.0966604,10.01,flat_rate,-24.1066604,0.11431812269589042,0.11999999999999998,24.22097852269589,0.8706013,S2_enhanced,Taper with Compliance
firm_887289,47,4,76.48204,76.48204,True,5.736153,10.01,flat_rate,-15.746153,0.04651784350684932,0.075,15.79267084350685,1.7095287,S2_enhanced,Taper with Compliance
firm_1483293,62,117,95.454094,95.454094,True,11.45449128,5.389999999999999,flat_rate,-16.84449128,0.09289121695561643,0.12,16.937382496955617,0.80097747,S2_enhanced,Taper with Compliance
firm_1630568,68,3,88.38801,88.38801,True,10.606561199999998,10.01,flat_rate,-20.6165612,0.08601485247123286,0.11999999999999998,20.702576052471233,0.99870616,S2_enhanced,Taper with Compliance
firm_306751,41,6,100.94202,100.94202,True,9.5894919,7.699999999999999,flat_rate,-17.2894919,0.07776683842191781,0.095,17.36725873842192,0.8191917,S2_enhanced,Taper with Compliance
firm_2657251,96,4,83.86092,83.86092,True,10.9019196,10.01,flat_rate,-20.911919599999997,0.08841008771506849,0.13,21.000329687715066,0.48708764,S2_enhanced,Taper with Compliance
firm_2044345,73,3,84.23268,84.23268,True,10.1079216,10.01,flat_rate,-20.1179216,0.08197109023561643,0.11999999999999998,20.199892690235615,0.99944437,S2_enhanced,Taper with Compliance
firm_1685533,68,1,77.1871,77.1871,True,9.262452,10.01,flat_rate,-19.272452,0.07511467923287671,0.12,19.347566679232877,1.0002396,S2_enhanced,Taper with Compliance
firm_315656,41,6,88.83725,88.83725,True,8.43953875,7.699999999999999,flat_rate,-16.13953875,0.06844119095890411,0.09500000000000001,16.207979940958904,2.4871929,S2_enhanced,Taper with Compliance
firm_478903,43,3,73.14867,70.27473308383672,True,8.432967970060407,10.01,flat_rate,-32.339771568093575,0.06838790463391453,0.12,18.511355874694324,1.9503123,S2_enhanced,Taper with Compliance
firm_1976525,71,3,71.397865,68.91089897192774,True,8.269307876631329,10.01,flat_rate,-30.732099479335886,0.06706068853377736,0.12000000000000001,18.346368565165108,0.9993878,S2_enhanced,Taper with Compliance
firm_1373489,59,4,70.17018,68.73069453256029,True,8.247683343907235,10.01,flat_rate,-25.68740251227286,0.06688532246017923,0.12000000000000001,18.324568666367416,0.99997234,S2_enhanced,Taper with Compliance
firm_1224004,56,1,89.30989,89.30989,True,11.16373625,10.01,flat_rate,-21.173736249999997,0.09053331315068493,0.125,21.264269563150684,1.0000437,S2_enhanced,Taper with Compliance
firm_1874457,70,4,101.091545,101.091545,True,12.130985399999998,10.01,flat_rate,-22.140985399999998,0.09837730625753423,0.11999999999999998,22.239362706257534,0.75295144,S2_enhanced,Taper with Compliance
firm_1427683,62,3,71.20924,68.23156598048486,True,8.187787917658182,10.01,flat_rate,-33.58175197552637,0.06639959516785814,0.12,18.26418751282604,1.0001657,S2_enhanced,Taper with Compliance
firm_1434553,62,4,84.153564,84.153564,True,10.09842768,10.01,flat_rate,-20.10842768,0.0818940984460274,0.12,20.190321778446027,2.2354288,S2_enhanced,Taper with Compliance
firm_1805381,70,25,75.86401,75.86401,True,9.103681199999999,5.389999999999999,flat_rate,-14.493681199999997,0.07382711329315067,0.12,14.567508313293148,1.0000387,S2_enhanced,Taper with Compliance
