firm_id,scenario_id,turnover_baseline,turnover_reported,vat_liability,effective_vat_rate,operating_profit_change,registered,static_vat,behavioral_vat,quantity_change,price_change,bunching_adjustment,mode
A4_contractor_88k,S3,88,88.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A4_contractor_100k,S3,100,100.0,0.7777777777777777,0.007777777777777777,-0.7777777777777777,True,0.7777777777777777,0.7777777777777777,-0.0,0.0,0.0,behavioural
A4_contractor_130k,S3,130,130.0,4.044444444444444,0.03111111111111111,-4.044444444444444,True,4.044444444444444,4.044444444444444,-0.0,0.0,0.0,behavioural
A5_accounting_85k,S3,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A5_accounting_95k,S3,95,95.0,0.0,0.0,0.0,True,0.0,0.0,-0.0,0.0,0.0,behavioural
A5_accounting_140k,S3,140,140.0,0.0,0.0,0.0,True,0.0,0.0,-0.0,0.0,0.0,behavioural
A1_hairdresser_80k,S4,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_89k,S4,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_91k,S4,91,89.5,0.0,0.0,-0.675,False,0.0,0.0,0.0,0.0,1.5,behavioural
A1_hairdresser_105k,S4,105,89.5,0.0,0.0,-6.9750000000000005,False,0.0,0.0,0.0,0.0,15.5,behavioural
A2_bicycle_80k,S4,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_89k,S4,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_91k,S4,91,89.5,0.0,0.0,-0.6000000000000001,False,0.0,0.0,0.0,0.0,1.5,behavioural
A2_bicycle_105k,S4,105,89.5,0.0,0.0,-6.2,False,0.0,0.0,0.0,0.0,15.5,behavioural
A3_cafe_85k,S4,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A3_cafe_95k,S4,95,90.0,11.52,0.128,-13.27,True,12.16,11.52,-0.0,0.0,5.0,behavioural
A3_cafe_120k,S4,120,120.0,15.36,0.128,-15.36,True,15.36,15.36,-0.0,0.0,0.0,behavioural
A4_contractor_88k,S4,88,88.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A4_contractor_100k,S4,100,90.0,3.1500000000000004,0.035,-5.65,True,3.5,3.1500000000000004,-0.0,0.0,10.0,behavioural
A4_contractor_130k,S4,130,130.0,4.55,0.034999999999999996,-4.55,True,4.55,4.55,-0.0,0.0,0.0,behavioural
A5_accounting_85k,S4,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A5_accounting_95k,S4,95,92.52775,0.0,0.0,-1.4833500000000015,True,0.0,0.0,0.0003000000000000003,-0.0015000000000000013,2.5,behavioural
A5_accounting_140k,S4,140,140.042,0.0,0.0,0.025200000000000954,True,0.0,0.0,0.0003000000000000003,-0.0015000000000000013,0.0,behavioural
A1_hairdresser_80k,S5,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_89k,S5,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_91k,S5,91,93.4206,0.518388418183999,0.005548973333333322,0.5708815818159981,True,0.14762222222222224,0.518388418183999,0.0266,-0.06649999999999999,0.0,behavioural
A1_hairdresser_105k,S5,105,107.79299999999999,3.111358710599998,0.028864199999999982,-1.8545087106000016,True,2.555,3.111358710599998,0.0266,-0.06649999999999999,0.0,behavioural
A2_bicycle_80k,S5,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_89k,S5,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_91k,S5,91,93.59349999999999,0.5306512266611098,0.00566974444444443,0.506748773338887,True,0.14357777777777778,0.5306512266611098,0.028499999999999998,-0.056999999999999995,0.0,behavioural
A2_bicycle_105k,S5,105,107.99249999999999,3.065709088749998,0.028388166666666652,-1.8687090887500009,True,2.4850000000000003,3.065709088749998,0.028499999999999998,-0.056999999999999995,0.0,behavioural
A3_cafe_85k,S5,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A3_cafe_95k,S5,95,95.0,1.3511111111111112,0.014222222222222223,-1.3511111111111112,True,1.3511111111111112,1.3511111111111112,-0.0,0.0,0.0,behavioural
A3_cafe_120k,S5,120,120.0,10.239999999999998,0.08533333333333332,-10.239999999999998,True,10.239999999999998,10.239999999999998,-0.0,0.0,0.0,behavioural
A4_contractor_88k,S5,88,88.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A4_contractor_100k,S5,100,100.0,0.7777777777777777,0.007777777777777777,-0.7777777777777777,True,0.7777777777777777,0.7777777777777777,-0.0,0.0,0.0,behavioural
A4_contractor_130k,S5,130,130.0,4.044444444444444,0.03111111111111111,-4.044444444444444,True,4.044444444444444,4.044444444444444,-0.0,0.0,0.0,behavioural
A5_accounting_85k,S5,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A5_accounting_95k,S5,95,95.0285,0.0,0.0,0.017099999999996385,True,0.0,0.0,0.0003000000000000003,-0.0015000000000000013,0.0,behavioural
A5_accounting_140k,S5,140,140.042,0.0,0.0,0.025200000000000954,True,0.0,0.0,0.0003000000000000003,-0.0015000000000000013,0.0,behavioural
