Scenario,Firm Type,Avg VAT (£k),Avg Effective Rate,Registered (%),Avg Profit Change (£k),Avg Bunching (£k)
S0,Hairdresser,0.0,0.0,0.0,-1.9125,4.25
S0,Bicycle,0.0,0.0,0.0,-1.7000000000000002,4.25
S0,Cafe,8.959999999999999,0.08533333333333333,66.66666666666666,-9.543333333333333,1.6666666666666667
S0,Contractor,2.566666666666667,0.023333333333333334,66.66666666666666,-3.4,3.3333333333333335
S0,Accounting,0.0,0.0,66.66666666666666,-0.5,0.8333333333333334
S1,Hairdresser,0.0,0.0,0.0,-0.61875,1.375
S1,Bicycle,0.0,0.0,0.0,-0.55,1.375
S1,Cafe,4.266666666666667,0.042666666666666665,33.33333333333333,-6.6000000000000005,6.666666666666667
S1,Contractor,2.6833333333333336,0.023333333333333334,66.66666666666666,-2.6833333333333336,0.0
S1,Accounting,0.0,0.0,33.33333333333333,0.0,0.0
S2,Hairdresser,9.241866666666667,0.098,100.0,-9.241866666666667,0.0
S2,Bicycle,9.131844444444447,0.09683333333333335,100.0,-9.131844444444447,0.0
S2,Cafe,9.434074074074074,0.09007407407407407,100.0,-9.434074074074074,0.0
S2,Contractor,2.9488148148148148,0.0267037037037037,100.0,-2.9488148148148148,0.0
S2,Accounting,0.0,0.0,100.0,0.0,0.0
S3,Hairdresser,1.5549333333333333,0.014933333333333333,50.0,-1.5549333333333333,0.0
S3,Bicycle,1.5364222222222224,0.014755555555555556,50.0,-1.5364222222222224,0.0
S3,Cafe,3.863703703703703,0.03318518518518518,66.66666666666666,-3.863703703703703,0.0
S3,Contractor,1.6074074074074074,0.012962962962962963,66.66666666666666,-1.6074074074074074,0.0
S3,Accounting,0.0,0.0,66.66666666666666,0.0,0.0
S4,Hairdresser,0.0,0.0,0.0,-1.9125,4.25
S4,Bicycle,0.0,0.0,0.0,-1.7000000000000002,4.25
S4,Cafe,8.959999999999999,0.08533333333333333,66.66666666666666,-9.543333333333333,1.6666666666666667
S4,Contractor,2.566666666666667,0.023333333333333334,66.66666666666666,-3.4,3.3333333333333335
S4,Accounting,0.0,0.0,66.66666666666666,-0.48605000000000015,0.8333333333333334
S5,Hairdresser,0.9074367821959992,0.008603293333333326,50.0,-0.3209067821960009,0.0
S5,Bicycle,0.8990900788527769,0.00851447777777777,50.0,-0.3404900788527785,0.0
S5,Cafe,3.863703703703703,0.03318518518518518,66.66666666666666,-3.863703703703703,0.0
S5,Contractor,1.6074074074074074,0.012962962962962963,66.66666666666666,-1.6074074074074074,0.0
S5,Accounting,0.0,0.0,66.66666666666666,0.014099999999999113,0.0
